,name,org,url,pub
46,Andrea Kavanaugh,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/81100171026,Communication Behavior in an Emerging Democracy
47,Ziqian Song,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/99659174055,Communication Behavior in an Emerging Democracy
48,Liuqing Li,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/99659440182,Communication Behavior in an Emerging Democracy
49,Edward Fox,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/81339500009,Communication Behavior in an Emerging Democracy
50,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
51,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
52,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
53,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
54,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
55,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
56,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
57,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
58,Alex Leavitt,"Facebook, Inc.",https://dl.acm.org/profile/87958825357,Upvoting hurricane Sandy: event-based news production processes on a social news site
59,Joshua A. Clark,University of Southern California,https://dl.acm.org/profile/87959165857,Upvoting hurricane Sandy: event-based news production processes on a social news site
60,Xianchang Luo,University of Science and Technology of China,https://dl.acm.org/profile/99660688623,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models
61,Yinxing Xue,University of Science and Technology of China,https://dl.acm.org/profile/99658698378,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models
62,Zhenchang Xing,The Australian National University,https://dl.acm.org/profile/81550494556,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models
63,Jiamou Sun,CSIRO Data61,https://dl.acm.org/profile/99660688325,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models
64,Mickey Li,University of Bristol,https://dl.acm.org/profile/99659694910,Reliability-Aware Multi-UAV Coverage Path Planning using a Genetic Algorithm
65,Arthur Richards,University of Bristol,https://dl.acm.org/profile/81496641971,Reliability-Aware Multi-UAV Coverage Path Planning using a Genetic Algorithm
66,Mahesh Sooriyabandara,Toshiba Corporation,https://dl.acm.org/profile/81338490942,Reliability-Aware Multi-UAV Coverage Path Planning using a Genetic Algorithm
67,Ram Shringar Raw,Ambedkar Institute of Advanced Communication Technologies & Research,https://dl.acm.org/profile/81488673031,Analysis of Message Propagation for Intelligent Disaster Management through Vehicular Cloud Network
68, Loveleen,Ambedkar Institute of Advanced Communication Technologies & Research,https://dl.acm.org/profile/99659068753,Analysis of Message Propagation for Intelligent Disaster Management through Vehicular Cloud Network
69,Arvind Kumar,KIET Group of Institutions,https://dl.acm.org/profile/99659068137,Analysis of Message Propagation for Intelligent Disaster Management through Vehicular Cloud Network
70,Arushi Kadam,Ambedkar Institute of Advanced Communication Technologies & Research,https://dl.acm.org/profile/99659067675,Analysis of Message Propagation for Intelligent Disaster Management through Vehicular Cloud Network
71,Nanhay Singh,Netaji Subhas Institute of Technology,https://dl.acm.org/profile/99659068699,Analysis of Message Propagation for Intelligent Disaster Management through Vehicular Cloud Network
72,Elaine M. Raybourn,"Sandia National Laboratories, New Mexico",https://dl.acm.org/profile/81100078614,Designing an emergent culture of negotiation in collaborative virtual communities: the case of the DomeCityMOO
73,Weixi Gong,United Nations Industrial Development Organization,https://dl.acm.org/profile/81100009736,Post-crisis domestic procurement network to facilitate humanitarian assistance: a case of Sudan
74,Amr El Abbadi,"University of California, Santa Barbara",https://dl.acm.org/profile/81100403960,A resilient communication structure for local area networks
75,Thomas Rauchle,Cornell University,https://dl.acm.org/profile/81384621193,A resilient communication structure for local area networks
76,S. Ossowski,Rey Juan Carlos University,https://dl.acm.org/profile/81100056520,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
77,A. Fernandez,Rey Juan Carlos University,https://dl.acm.org/profile/81100386964,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
78,J. M. Serrano,Rey Juan Carlos University,https://dl.acm.org/profile/81100128045,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
79,J. L. Perez-de-la-Cruz,Universidad de Malaga,https://dl.acm.org/profile/81100312137,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
80,M. V. Belmonte,Universidad de Malaga,https://dl.acm.org/profile/81100592282,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
81,J. Z. Hernandez,Technical University of Madrid,https://dl.acm.org/profile/81100254795,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
82,A. M. Garcia-Serrano,National Distance Education University,https://dl.acm.org/profile/81100538266,"Designing Multiagent Decision Support System "" The Case of Transportation Management"
83,Linyi Yang,University College Dublin,https://dl.acm.org/profile/99659535879,HTML: Hierarchical Transformer-based Multi-task Learning for Volatility Prediction
84,Tin Lok James Ng,University of Wollongong,https://dl.acm.org/profile/99659535551,HTML: Hierarchical Transformer-based Multi-task Learning for Volatility Prediction
85,Barry Smyth,University College Dublin,https://dl.acm.org/profile/81100297638,HTML: Hierarchical Transformer-based Multi-task Learning for Volatility Prediction
86,Riuhai Dong,Insight Centre for Data Analytics,https://dl.acm.org/profile/99659537983,HTML: Hierarchical Transformer-based Multi-task Learning for Volatility Prediction
87,Shyam Narayanan,Massachusetts Institute of Technology,https://dl.acm.org/profile/99659689773,Improved algorithms for population recovery from the deletion channel
88,Maurice Jamieson,The University of Edinburgh,https://dl.acm.org/profile/99659676585,Compact native code generation for dynamic languages on micro-core architectures
89,Nick Brown,The University of Edinburgh,https://dl.acm.org/profile/81553102056,Compact native code generation for dynamic languages on micro-core architectures
90,Suzila Mohd,"Universiti Teknologi Malaysia, Kuala Lumpur",https://dl.acm.org/profile/99659669571,Improving Humanitarian Aid Information Management Workflow for Disaster Relief Team
91,Mohamad Syazli Fathi,"Universiti Teknologi Malaysia, Kuala Lumpur",https://dl.acm.org/profile/81557915456,Improving Humanitarian Aid Information Management Workflow for Disaster Relief Team
92,Aizul Nahar Harun,"Universiti Teknologi Malaysia, Kuala Lumpur",https://dl.acm.org/profile/99659670486,Improving Humanitarian Aid Information Management Workflow for Disaster Relief Team
93,Lei Wu,Huaqiao University,https://dl.acm.org/profile/99660026591,Cloud Computing Operation Management Platform for Internet of Things of Construction Machinery
94,Xianjin Lin,Huaqiao University,https://dl.acm.org/profile/99660044960,Cloud Computing Operation Management Platform for Internet of Things of Construction Machinery
95,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
96,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
97,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
98,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
99,Andrew Turner,Georgia Institute of Technology,https://dl.acm.org/profile/99659397287,Representation of humanitarian aid/disaster relief missions with an agent based model to analyze optimal resource placement
100,Santiago Balestrini-Robinson,Georgia Institute of Technology,https://dl.acm.org/profile/81553176756,Representation of humanitarian aid/disaster relief missions with an agent based model to analyze optimal resource placement
101,Dimitri Mavris,Georgia Institute of Technology,https://dl.acm.org/profile/81100498103,Representation of humanitarian aid/disaster relief missions with an agent based model to analyze optimal resource placement
102,Wen Wang,University of Science and Technology of China,https://dl.acm.org/profile/99659894802,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
103,Yang Cao,University of Science and Technology of China,https://dl.acm.org/profile/81474676316,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
104,Jing Zhang,The University of Sydney,https://dl.acm.org/profile/99659565067,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
105,Fengxiang He,"JD.com, Inc.",https://dl.acm.org/profile/99659896496,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
106,Zheng-Jun Zha,University of Science and Technology of China,https://dl.acm.org/profile/81337494695,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
107,Yonggang Wen,School of Computer Science and Engineering,https://dl.acm.org/profile/81486648394,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
108,Dacheng Tao,The University of Sydney,https://dl.acm.org/profile/81100159571,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers
109,James C. Lin,University of Illinois at Chicago,https://dl.acm.org/profile/81408601752,Health aspects of wireless communication: personal wireless communication radiation and the eye lens
110,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
111,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
112,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
113,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
114,Alexander Romanovsky,Newcastle University,https://dl.acm.org/profile/81100534443,Except for exception handling …
115,Bo Sandén,Colorado Technical University,https://dl.acm.org/profile/81100003908,Except for exception handling …
116,Brendan Jou,Columbia University,https://dl.acm.org/profile/81508707239,Predicting Viewer Perceived Emotions in Animated GIFs
117,Subhabrata Bhattacharya,Siemens USA,https://dl.acm.org/profile/81314480999,Predicting Viewer Perceived Emotions in Animated GIFs
118,Shih-Fu Chang,Columbia University,https://dl.acm.org/profile/81406599942,Predicting Viewer Perceived Emotions in Animated GIFs
119,Wei Li,The University of Edinburgh,https://dl.acm.org/profile/99659337245,An operational semantics of multitasking and exception handling in Ada
120,Brian Chin,"University of California, Los Angeles",https://dl.acm.org/profile/81100656814,Semantic type qualifiers
121,Shane Markstrum,Google LLC,https://dl.acm.org/profile/81100292142,Semantic type qualifiers
122,Todd Millstein,"University of California, Los Angeles",https://dl.acm.org/profile/81100018064,Semantic type qualifiers
123,Nick Benton,Microsoft Research Cambridge,https://dl.acm.org/profile/81100165244,Relational semantics for effect-based program transformations: higher-order store
124,Andrew Kennedy,"Facebook, Inc.",https://dl.acm.org/profile/81100450709,Relational semantics for effect-based program transformations: higher-order store
125,Lennart Beringer,Princeton University,https://dl.acm.org/profile/81335488012,Relational semantics for effect-based program transformations: higher-order store
126,Alexander Gusev,Columbia University,https://dl.acm.org/profile/81367596424,Highly Scalable Genotype Phasing by Entropy Minimization
127,Ion I. Măndoiu,University of Connecticut,https://dl.acm.org/profile/81100460267,Highly Scalable Genotype Phasing by Entropy Minimization
128,Bogdan Paşaniuc,"University of California, Los Angeles",https://dl.acm.org/profile/81367590849,Highly Scalable Genotype Phasing by Entropy Minimization
129,Hernan Sarmiento,University of Chile,https://dl.acm.org/profile/99659273067,Crisis communication: a comparative study of communication patterns across crisis events in social media
130,Barbara Poblete,University of Chile,https://dl.acm.org/profile/81100509285,Crisis communication: a comparative study of communication patterns across crisis events in social media
131,Moshe Y. Vardi,Rice University,https://dl.acm.org/profile/81100371692,Predatory scholarly publishing
132,Luiza Prado de Oliveira Martins,Lusophone University of Humanities and Technologies,https://dl.acm.org/profile/99659668360,"Coloniality, reproduction, and the climate crisis, or: how do we survive when the land is crumbling under our feet?"
133,Benjamin G. Shaw,IBM Research - Almaden,https://dl.acm.org/profile/81413602085,A cognitive account of collective emergence in design
134,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
135,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
